venueId,name,typeGuess,capacity,capacityKind,seatedCapacity,capacityStatus,verifiedAt,verificationSourceUrls,siteUrl,address,sourceLiveIds
venue_新北市_新北大都会公園,新北市・新北大都会公園,outdoor_festival,,,,needs_web_verification,,,https://www.ototix.com/events/Bandstival2025/Bandstival2025-live,"Section 1, Shuiyang Rd, Sanchong District, New Taipei City, 台湾 241",70
venue_新木場スタジオコ_スト,新木場スタジオコースト,live_house,,,,needs_web_verification,,,http://www.studio-coast.com/,〒136-0082 東京都江東区新木場２丁目２−１０,18
venue_神戸harbor_studio,神戸Harbor Studio,live_house,600,max,,verified,2026-05-17,https://www.city.kobe.lg.jp/documents/63800/00_4_shisetsuichiran_20230828.pdf,https://harbor-studio.net/,〒650-0042 兵庫県神戸市中央区波止場町6-3 甲陽運輸内1F,72
venue_神戸ハ_バ_スタジオ,神戸Harbor Studio,live_house,600,max,,verified,2026-05-17,https://www.city.kobe.lg.jp/documents/63800/00_4_shisetsuichiran_20230828.pdf,https://harbor-studio.net/,〒650-0042 兵庫県神戸市中央区波止場町6-3 甲陽運輸内1F,46
venue_神奈川県民ホ_ル,神奈川県民ホール,hall,,,,needs_web_verification,,,http://www.kanagawa-kenminhall.com/,〒231-0023 神奈川県横浜市中区山下町３−１,22|46
venue_盛岡_club_change_wave,盛岡 club change WAVE,live_house,,,,needs_web_verification,,,http://clubchange.com/,〒020-0022 岩手県盛岡市大通り１丁目１１−１２ ヒグチビル B1,46
venue_青森quarter,青森Quarter,live_house,,,,needs_web_verification,,,https://aomoriquarter.com/access,青森県青森市安方2-11-3,72
venue_静安体育中心,静安体育中心,arena,,,,needs_web_verification,,,,,68
venue_赤坂blitz,赤坂BLITZ,live_house,,,,needs_web_verification,,,http://www.tbs.co.jp/blitz/,〒107-0052 東京都港区赤坂５丁目３−２,6
venue_仙台_gigs,仙台 GIGS,live_house,,,,needs_web_verification,,,https://www.sendaigigs.com/,〒984-0030 宮城県仙台市若林区荒井東１丁目４−１,46
venue_仙台_rensa,仙台 Rensa,live_house,,,,needs_web_verification,,,http://www.rensa.jp/,〒980-0811 宮城県仙台市青葉区一番町４丁目９−１８ Ticビル 7F,22
